IP_Address,Location,numberOfTimesClickedAD,Vpn,anomaly_scores,anomaly_value
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,0,0.2156910279377875,1
122.130.01.20,USA,5,3,0.020096086661997248,1
122.130.01.20,Japan,5,1,0.048319623007965995,1
122.130.01.20,USA,5,2,0.06538059097641791,1
13.133.1.20,USA,5,10,-0.180864779957975,-1
